,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,horsepower-binned,diesel,gas
,3,122,porsche,std,two,hardtop,rwd,rear,89.5,0.8116290245074480,0.9027777777777780,51.6,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,17,25,32528.0,13.823529411764700,High,0,1
,3,122,porsche,std,two,hardtop,rwd,rear,89.5,0.8116290245074480,0.9027777777777780,51.6,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,17,25,34028.0,13.823529411764700,High,0,1
,3,122,porsche,std,two,convertible,rwd,rear,89.5,0.8116290245074480,0.9027777777777780,51.6,2800,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,17,25,37028.0,13.823529411764700,High,0,1
,0,122,renault,std,four,wagon,fwd,front,96.1,0.8721768380586260,0.9236111111111110,55.2,2579,ohc,four,132,mpfi,3.46,3.9,8.7,104.256157635468,5125.369458128080,23,31,9295.0,10.217391304347800,Medium,0,1
,2,122,renault,std,two,hatchback,fwd,front,96.1,0.8495915425276310,0.925,50.5,2460,ohc,four,132,mpfi,3.46,3.9,8.7,104.256157635468,5125.369458128080,23,31,9895.0,10.217391304347800,Medium,0,1
,3,150,saab,std,two,hatchback,fwd,front,99.1,0.8966842864007690,0.9236111111111110,56.1,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110.0,5250.0,21,28,11850.0,11.190476190476200,Medium,0,1
,2,104,saab,std,four,sedan,fwd,front,99.1,0.8966842864007690,0.9236111111111110,56.1,2695,ohc,four,121,mpfi,3.54,3.07,9.3,110.0,5250.0,21,28,12170.0,11.190476190476200,Medium,0,1
,3,150,saab,std,two,hatchback,fwd,front,99.1,0.8966842864007690,0.9236111111111110,56.1,2707,ohc,four,121,mpfi,2.54,2.07,9.3,110.0,5250.0,21,28,15040.0,11.190476190476200,Medium,0,1
,2,104,saab,std,four,sedan,fwd,front,99.1,0.8966842864007690,0.9236111111111110,56.1,2758,ohc,four,121,mpfi,3.54,3.07,9.3,110.0,5250.0,21,28,15510.0,11.190476190476200,Medium,0,1
,3,150,saab,turbo,two,hatchback,fwd,front,99.1,0.8966842864007690,0.9236111111111110,56.1,2808,dohc,four,121,mpfi,3.54,3.07,9.0,160.0,5500.0,19,26,18150.0,12.36842105263160,High,0,1
,2,104,saab,turbo,four,sedan,fwd,front,99.1,0.8966842864007690,0.9236111111111110,56.1,2847,dohc,four,121,mpfi,3.54,3.07,9.0,160.0,5500.0,19,26,18620.0,12.36842105263160,High,0,1
,2,83,subaru,std,two,hatchback,fwd,front,93.7,0.7539644401729940,0.8805555555555560,53.7,2050,ohcf,four,97,2bbl,3.62,2.36,9.0,69.0,4900.0,31,36,5118.0,7.580645161290320,Low,0,1
,2,83,subaru,std,two,hatchback,fwd,front,93.7,0.758769822200865,0.8833333333333330,53.7,2120,ohcf,four,108,2bbl,3.62,2.64,8.7,73.0,4400.0,26,31,7053.0,9.038461538461540,Low,0,1
,2,83,subaru,std,two,hatchback,4wd,front,93.3,0.7558865929841420,0.8861111111111110,55.7,2240,ohcf,four,108,2bbl,3.62,2.64,8.7,73.0,4400.0,26,31,7603.0,9.038461538461540,Low,0,1
,0,102,subaru,std,four,sedan,fwd,front,97.2,0.8265257087938490,0.9083333333333330,52.5,2145,ohcf,four,108,2bbl,3.62,2.64,9.5,82.0,4800.0,32,37,7126.0,7.34375,Low,0,1
,0,102,subaru,std,four,sedan,fwd,front,97.2,0.8265257087938490,0.9083333333333330,52.5,2190,ohcf,four,108,2bbl,3.62,2.64,9.5,82.0,4400.0,28,33,7775.0,8.392857142857140,Low,0,1
,0,102,subaru,std,four,sedan,fwd,front,97.2,0.8265257087938490,0.9083333333333330,52.5,2340,ohcf,four,108,mpfi,3.62,2.64,9.0,94.0,5200.0,26,32,9960.0,9.038461538461540,Low,0,1
,0,102,subaru,std,four,sedan,4wd,front,97.0,0.8265257087938490,0.9083333333333330,54.3,2385,ohcf,four,108,2bbl,3.62,2.64,9.0,82.0,4800.0,24,25,9233.0,9.791666666666670,Low,0,1
,0,102,subaru,turbo,four,sedan,4wd,front,97.0,0.8265257087938490,0.9083333333333330,54.3,2510,ohcf,four,108,mpfi,3.62,2.64,7.7,111.0,4800.0,24,29,11259.0,9.791666666666670,Medium,0,1
,0,89,subaru,std,four,wagon,fwd,front,97.0,0.8337337818356560,0.9083333333333330,53.0,2290,ohcf,four,108,2bbl,3.62,2.64,9.0,82.0,4800.0,28,32,7463.0,8.392857142857140,Low,0,1
,0,89,subaru,std,four,wagon,fwd,front,97.0,0.8337337818356560,0.9083333333333330,53.0,2455,ohcf,four,108,mpfi,3.62,2.64,9.0,94.0,5200.0,25,31,10198.0,9.4,Low,0,1
,0,85,subaru,std,four,wagon,4wd,front,96.9,0.8342143200384430,0.9083333333333330,54.9,2420,ohcf,four,108,2bbl,3.62,2.64,9.0,82.0,4800.0,23,29,8013.0,10.217391304347800,Low,0,1
,0,85,subaru,turbo,four,wagon,4wd,front,96.9,0.8342143200384430,0.9083333333333330,54.9,2650,ohcf,four,108,mpfi,3.62,2.64,7.7,111.0,4800.0,23,23,11694.0,10.217391304347800,Medium,0,1
,1,87,toyota,std,two,hatchback,fwd,front,95.7,0.762614127823162,0.8833333333333330,54.5,1985,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,35,39,5348.0,6.7142857142857100,Low,0,1
,1,87,toyota,std,two,hatchback,fwd,front,95.7,0.762614127823162,0.8833333333333330,54.5,2040,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,31,38,6338.0,7.580645161290320,Low,0,1
,1,74,toyota,std,four,hatchback,fwd,front,95.7,0.762614127823162,0.8833333333333330,54.5,2015,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,31,38,6488.0,7.580645161290320,Low,0,1
,0,77,toyota,std,four,wagon,fwd,front,95.7,0.8154733301297450,0.8833333333333330,59.1,2280,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,31,37,6918.0,7.580645161290320,Low,0,1
,0,81,toyota,std,four,wagon,4wd,front,95.7,0.8154733301297450,0.8833333333333330,59.1,2290,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,27,32,7898.0,8.703703703703700,Low,0,1
,0,91,toyota,std,four,wagon,4wd,front,95.7,0.8154733301297450,0.8833333333333330,59.1,3110,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,27,32,8778.0,8.703703703703700,Low,0,1
,0,91,toyota,std,four,sedan,fwd,front,95.7,0.7991350312349830,0.8944444444444450,53.0,2081,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,30,37,6938.0,7.833333333333330,Low,0,1
,0,91,toyota,std,four,hatchback,fwd,front,95.7,0.7991350312349830,0.8944444444444450,52.8,2109,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,30,37,7198.0,7.833333333333330,Low,0,1
,0,91,toyota,std,four,sedan,fwd,front,95.7,0.7991350312349830,0.8944444444444450,53.0,2275,ohc,four,110,idi,3.27,3.35,22.5,56.0,4500.0,34,36,7898.0,6.911764705882350,Low,1,0
,0,91,toyota,std,four,hatchback,fwd,front,95.7,0.7991350312349830,0.8944444444444450,52.8,2275,ohc,four,110,idi,3.27,3.35,22.5,56.0,4500.0,38,47,7788.0,6.184210526315790,Low,1,0
,0,91,toyota,std,four,sedan,fwd,front,95.7,0.7991350312349830,0.8944444444444450,53.0,2094,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,38,47,7738.0,6.184210526315790,Low,0,1
,0,91,toyota,std,four,hatchback,fwd,front,95.7,0.7991350312349830,0.8944444444444450,52.8,2122,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,28,34,8358.0,8.392857142857140,Low,0,1
,0,91,toyota,std,four,sedan,fwd,front,95.7,0.7991350312349830,0.8944444444444450,52.8,2140,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,28,34,9258.0,8.392857142857140,Low,0,1
,1,168,toyota,std,two,sedan,rwd,front,94.5,0.810667948101874,0.8888888888888890,52.6,2169,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,29,34,8058.0,8.103448275862070,Low,0,1
,1,168,toyota,std,two,hatchback,rwd,front,94.5,0.810667948101874,0.8888888888888890,52.6,2204,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,29,34,8238.0,8.103448275862070,Low,0,1
,1,168,toyota,std,two,sedan,rwd,front,94.5,0.810667948101874,0.8888888888888890,52.6,2265,dohc,four,98,mpfi,3.24,3.08,9.4,112.0,6600.0,26,29,9298.0,9.038461538461540,Medium,0,1
,1,168,toyota,std,two,hatchback,rwd,front,94.5,0.810667948101874,0.8888888888888890,52.6,2300,dohc,four,98,mpfi,3.24,3.08,9.4,112.0,6600.0,26,29,9538.0,9.038461538461540,Medium,0,1
,2,134,toyota,std,two,hardtop,rwd,front,98.4,0.8467083133109080,0.9111111111111110,52.0,2540,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,8449.0,9.791666666666670,Medium,0,1
,2,134,toyota,std,two,hardtop,rwd,front,98.4,0.8467083133109080,0.9111111111111110,52.0,2536,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,9639.0,9.791666666666670,Medium,0,1
,2,134,toyota,std,two,hatchback,rwd,front,98.4,0.8467083133109080,0.9111111111111110,52.0,2551,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,9989.0,9.791666666666670,Medium,0,1
,2,134,toyota,std,two,hardtop,rwd,front,98.4,0.8467083133109080,0.9111111111111110,52.0,2679,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,11199.0,9.791666666666670,Medium,0,1
,2,134,toyota,std,two,hatchback,rwd,front,98.4,0.8467083133109080,0.9111111111111110,52.0,2714,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,11549.0,9.791666666666670,Medium,0,1
,2,134,toyota,std,two,convertible,rwd,front,98.4,0.8467083133109080,0.9111111111111110,53.0,2975,ohc,four,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,17669.0,9.791666666666670,Medium,0,1
,-1,65,toyota,std,four,sedan,fwd,front,102.4,0.8438250840941850,0.9236111111111110,54.9,2326,ohc,four,122,mpfi,3.31,3.54,8.7,92.0,4200.0,29,34,8948.0,8.103448275862070,Low,0,1
,-1,65,toyota,turbo,four,sedan,fwd,front,102.4,0.8438250840941850,0.9236111111111110,54.9,2480,ohc,four,110,idi,3.27,3.35,22.5,73.0,4500.0,30,33,10698.0,7.833333333333330,Low,1,0
,-1,65,toyota,std,four,hatchback,fwd,front,102.4,0.8438250840941850,0.9236111111111110,53.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92.0,4200.0,27,32,9988.0,8.703703703703700,Low,0,1
,-1,65,toyota,std,four,sedan,fwd,front,102.4,0.8438250840941850,0.9236111111111110,54.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92.0,4200.0,27,32,10898.0,8.703703703703700,Low,0,1
,-1,65,toyota,std,four,hatchback,fwd,front,102.4,0.8438250840941850,0.9236111111111110,53.9,2458,ohc,four,122,mpfi,3.31,3.54,8.7,92.0,4200.0,27,32,11248.0,8.703703703703700,Low,0,1
,3,197,toyota,std,two,hatchback,rwd,front,102.9,0.8817876021143680,0.9402777777777780,52.0,2976,dohc,six,171,mpfi,3.27,3.35,9.3,161.0,5200.0,20,24,16558.0,11.75,High,0,1
,3,197,toyota,std,two,hatchback,rwd,front,102.9,0.8817876021143680,0.9402777777777780,52.0,3016,dohc,six,171,mpfi,3.27,3.35,9.3,161.0,5200.0,19,24,15998.0,12.36842105263160,High,0,1
,-1,90,toyota,std,four,sedan,rwd,front,104.5,0.9024507448342140,0.9236111111111110,54.1,3131,dohc,six,171,mpfi,3.27,3.35,9.2,156.0,5200.0,20,24,15690.0,11.75,High,0,1
,-1,122,toyota,std,four,wagon,rwd,front,104.5,0.9024507448342140,0.9236111111111110,54.1,3151,dohc,six,161,mpfi,3.27,3.35,9.2,156.0,5200.0,19,24,15750.0,12.36842105263160,High,0,1
,2,122,volkswagen,std,two,sedan,fwd,front,97.3,0.8250840941854880,0.9097222222222220,55.7,2261,ohc,four,97,idi,3.01,3.4,23.0,52.0,4800.0,37,46,7775.0,6.351351351351350,Low,1,0
,2,122,volkswagen,std,two,sedan,fwd,front,97.3,0.8250840941854880,0.9097222222222220,55.7,2209,ohc,four,109,mpfi,3.19,3.4,9.0,85.0,5250.0,27,34,7975.0,8.703703703703700,Low,0,1
,2,94,volkswagen,std,four,sedan,fwd,front,97.3,0.8250840941854880,0.9097222222222220,55.7,2264,ohc,four,97,idi,3.01,3.4,23.0,52.0,4800.0,37,46,7995.0,6.351351351351350,Low,1,0
,2,94,volkswagen,std,four,sedan,fwd,front,97.3,0.8250840941854880,0.9097222222222220,55.7,2212,ohc,four,109,mpfi,3.19,3.4,9.0,85.0,5250.0,27,34,8195.0,8.703703703703700,Low,0,1
,2,94,volkswagen,std,four,sedan,fwd,front,97.3,0.8250840941854880,0.9097222222222220,55.7,2275,ohc,four,109,mpfi,3.19,3.4,9.0,85.0,5250.0,27,34,8495.0,8.703703703703700,Low,0,1
,2,94,volkswagen,turbo,four,sedan,fwd,front,97.3,0.8250840941854880,0.9097222222222220,55.7,2319,ohc,four,97,idi,3.01,3.4,23.0,68.0,4500.0,37,42,9495.0,6.351351351351350,Low,1,0
,2,94,volkswagen,std,four,sedan,fwd,front,97.3,0.8250840941854880,0.9097222222222220,55.7,2300,ohc,four,109,mpfi,3.19,3.4,10.0,100.0,5500.0,26,32,9995.0,9.038461538461540,Low,0,1
,3,122,volkswagen,std,two,convertible,fwd,front,94.5,0.7654973570398850,0.8916666666666670,55.6,2254,ohc,four,109,mpfi,3.19,3.4,8.5,90.0,5500.0,24,29,11595.0,9.791666666666670,Low,0,1
,3,256,volkswagen,std,two,hatchback,fwd,front,94.5,0.7962518020182600,0.8888888888888890,51.4,2221,ohc,four,109,mpfi,3.19,3.4,8.5,90.0,5500.0,24,29,9980.0,9.791666666666670,Low,0,1
,0,122,volkswagen,std,four,sedan,fwd,front,100.4,0.8659298414223930,0.9291666666666670,55.1,2661,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,24,13295.0,12.36842105263160,Medium,0,1
,0,122,volkswagen,turbo,four,sedan,fwd,front,100.4,0.8659298414223930,0.9291666666666670,55.1,2579,ohc,four,97,idi,3.01,3.4,23.0,68.0,4500.0,33,38,13845.0,7.121212121212120,Low,1,0
,0,122,volkswagen,std,four,wagon,fwd,front,100.4,0.8798654493032200,0.9291666666666670,55.1,2563,ohc,four,109,mpfi,3.19,3.4,9.0,88.0,5500.0,25,31,12290.0,9.4,Low,0,1
,-2,103,volvo,std,four,sedan,rwd,front,104.3,0.9072561268620860,0.9333333333333330,56.2,2912,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,23,28,12940.0,10.217391304347800,Medium,0,1
,-1,74,volvo,std,four,wagon,rwd,front,104.3,0.9072561268620860,0.9333333333333330,57.5,3034,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,23,28,13415.0,10.217391304347800,Medium,0,1
,-2,103,volvo,std,four,sedan,rwd,front,104.3,0.9072561268620860,0.9333333333333330,56.2,2935,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,24,28,15985.0,9.791666666666670,Medium,0,1
,-1,74,volvo,std,four,wagon,rwd,front,104.3,0.9072561268620860,0.9333333333333330,57.5,3042,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,24,28,16515.0,9.791666666666670,Medium,0,1
,-2,103,volvo,turbo,four,sedan,rwd,front,104.3,0.9072561268620860,0.9333333333333330,56.2,3045,ohc,four,130,mpfi,3.62,3.15,7.5,162.0,5100.0,17,22,18420.0,13.823529411764700,High,0,1
,-1,74,volvo,turbo,four,wagon,rwd,front,104.3,0.9072561268620860,0.9333333333333330,57.5,3157,ohc,four,130,mpfi,3.62,3.15,7.5,162.0,5100.0,17,22,18950.0,13.823529411764700,High,0,1
,-1,95,volvo,std,four,sedan,rwd,front,109.1,0.9072561268620860,0.9569444444444440,55.5,2952,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,23,28,16845.0,10.217391304347800,Medium,0,1
,-1,95,volvo,turbo,four,sedan,rwd,front,109.1,0.9072561268620860,0.9555555555555560,55.5,3049,ohc,four,141,mpfi,3.78,3.15,8.7,160.0,5300.0,19,25,19045.0,12.36842105263160,High,0,1
,-1,95,volvo,std,four,sedan,rwd,front,109.1,0.9072561268620860,0.9569444444444440,55.5,3012,ohcv,six,173,mpfi,3.58,2.87,8.8,134.0,5500.0,18,23,21485.0,13.055555555555600,Medium,0,1
,-1,95,volvo,turbo,four,sedan,rwd,front,109.1,0.9072561268620860,0.9569444444444440,55.5,3217,ohc,six,145,idi,3.01,3.4,23.0,106.0,4800.0,26,27,22470.0,9.038461538461540,Medium,1,0
,-1,95,volvo,turbo,four,sedan,rwd,front,109.1,0.9072561268620860,0.9569444444444440,55.5,3062,ohc,four,141,mpfi,3.78,3.15,9.5,114.0,5400.0,19,25,22625.0,12.36842105263160,Medium,0,1
